sepal_length;sepal_width;petal_length;petal_width;species
5.1;3.5;1.9299999999999997;0.2;setosa
4.9;3.0;1.4;0.4;setosa
4.7;3.2;1.3;0.2;setosa
4.6;3.1;1.5;0.2;setosa
5.0;3.6;1.4;0.2;setosa
5.4;3.9;1.7899999999999998;0.4600000000000001;setosa
4.6;3.4;1.4;0.3;setosa
5.0;3.4;1.5;0.31000000000000005;setosa
4.4;2.9;1.4;0.2;setosa
4.9;3.1;1.5;0.1;setosa
5.1;3.7;1.5;0.2;setosa
4.8;3.4;1.6;0.27;setosa
4.8;3.0;1.4;0.1;setosa
5.239999999999999;3.0;1.1;0.71;setosa
5.8;3.6700000000000004;1.2;0.2;setosa
5.7;4.4;1.5;0.4;setosa
5.4;3.9;1.3;0.25000000000000006;setosa
5.1;3.5;1.4;0.3;setosa
5.7;3.8;1.48;0.3;setosa
5.1;3.4899999999999998;1.5;0.27;setosa
5.4;3.4;1.7;0.2;setosa
5.1899999999999995;3.7;1.5;0.4;setosa
4.6;3.6;1.0;0.24000000000000005;setosa
5.1;3.3;1.8800000000000001;0.5;setosa
5.12;3.4;1.9;0.2;setosa
5.0;3.37;1.6;0.2;setosa
5.0;3.4;1.6;0.4;setosa
5.2;3.5;1.5;0.2;setosa
5.2;3.4;2.81;0.6799999999999999;setosa
4.7;3.2;1.49;0.2;setosa
4.8;3.1;1.6;0.2;setosa
5.4;3.75;1.5;0.4;setosa
5.796062992125983;3.0590909090909095;3.8179687499999995;0.1;setosa
5.5;4.2;1.4;0.2;setosa
4.9399999999999995;3.1;1.5;0.53;setosa
5.0;3.2;1.2;0.2;setosa
5.5;3.7400000000000007;1.3;0.2;setosa
4.9;3.1;1.5;0.4;setosa
4.4;3.0;1.3;0.2;setosa
5.1;3.4;1.5;0.2;setosa
5.0;3.5;1.94;0.3;setosa
4.5;2.3;1.8799999999999997;0.3;setosa
4.4;3.15;1.3;0.2;setosa
5.0;3.5;1.6;0.6;setosa
5.1;3.8;1.9;0.29000000000000004;setosa
4.8;3.0;1.4;0.3;setosa
5.1;3.8;1.6;0.2;setosa
4.6;3.2;1.4;0.2;setosa
5.3;3.7;1.5;0.2;setosa
5.0;3.3;1.4;0.2;setosa
6.1800000000000015;3.2;4.7;1.4;versicolor
6.4;3.2;4.5;1.5;versicolor
6.9;3.1;4.9;1.5;versicolor
5.660000000000001;2.7199999999999998;4.0;1.3;versicolor
6.01;2.8;4.6;1.5;versicolor
