sepal_length;sepal_width;petal_length;petal_width;species
5.1;3.5;1.319891985039439;0.2;setosa
4.9;2.866969553180657;2.793658329453748;0.9040504331587517;setosa
5.205411964135424;3.2;1.8614998818026922;0.2;setosa
5.1743063941296885;3.1;1.901306762477678;0.2;setosa
5.070923464859391;3.6;1.4;0.2;setosa
5.4;3.439190450678846;1.7;0.4;setosa
4.905489580019625;3.3451737976918365;1.4;0.3;setosa
5.0;3.4;1.5;0.2;setosa
4.4;2.9;1.4;0.22993986995012827;setosa
4.920047946395451;3.2357006004653703;1.5;0.1;setosa
5.165836828134504;3.7;1.5;0.2;setosa
4.8;3.4;1.6;0.2;setosa
4.8;3.0;1.4;0.2304835939325205;setosa
4.3;3.039124459355791;1.1;0.1;setosa
5.8;4.0;1.2;0.2;setosa
5.7;4.4;2.6085156949828443;0.8292094520990491;setosa
5.4;3.2572315181334304;2.1061851386970307;0.4;setosa
5.1;3.5;1.4;0.3;setosa
5.3862021367563555;3.8;1.7;0.3847982522347439;setosa
5.219775822097569;3.8;1.5;0.3;setosa
5.4;3.4;1.7;0.35277722988084037;setosa
5.1;3.7;1.5342565059701112;0.4;setosa
4.6;3.6;1.0;0.2;setosa
5.1;3.269365965650374;1.7;0.356930961749388;setosa
5.965592776225603;3.4;3.5426145901480055;1.1324379354595;setosa
4.858712631866547;3.0;1.6;0.2;setosa
5.067100009678447;3.4;1.6;0.4;setosa
4.931336344351013;3.2762767669253186;1.5;0.2;setosa
4.894201182064063;3.304597631231888;1.4;0.2;setosa
4.968471506637964;3.247955902618749;1.6;0.2;setosa
4.8;3.1190389270104544;1.6;0.2;setosa
5.4;3.4;1.5;0.4;setosa
5.2;3.345575176148434;1.5;0.1;setosa
5.5;3.567236464807295;1.4;0.2;setosa
4.860624359457019;3.1;1.5;0.1;setosa
4.780587348423397;3.2;1.2;0.2;setosa
5.5;3.5706721738218974;1.3;0.19166044537809981;setosa
4.9;3.1;1.2153526173523233;0.1;setosa
5.862449529420983;3.0;3.785183999924328;1.2158816741347676;setosa
5.1;3.4;1.5;0.2;setosa
5.0;3.5;1.3;0.3;setosa
4.5;2.3;1.3;0.3;setosa
4.4;3.2;1.3;0.2;setosa
5.124723302661695;3.5;1.6;0.6;setosa
5.1;3.8;1.9;0.4282758835081747;setosa
4.773079594222272;3.0;1.4;0.3;setosa
5.1;3.8;1.6;0.2;setosa
4.6;3.2;1.4;0.2;setosa
6.042950211329068;3.7;3.3606875328157644;1.0698551314530493;setosa
