x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,class
3.0,5.3,4.0,3.0,2.0,7.9,8.0,2.0,5.7,9.4,6.1,7.0,2.2,8.0,5.0,7.4,Z
4.6,7.0,5.0,4.7,5.0,5.0,9.0,6.0,4.0,9.4,7.0,7.9,2.0,9.0,4.3,10.0,P
7.0,10.0,8.0,7.0,5.8,7.8,8.0,5.2,10.0,8.6,7.5,8.3,3.8,8.7,3.9,10.0,S
3.8,7.9,5.0,7.0,2.0,7.8,8.4,13.0,1.0,7.0,7.0,7.1,3.0,8.0,2.7,8.0,H
3.9,7.0,8.0,5.0,4.0,7.3,6.0,3.0,5.1,10.0,5.4,8.5,3.7,8.2,3.8,7.0,H
4.8,7.0,4.7,5.7,2.7,4.0,7.6,3.7,5.0,7.5,7.7,5.0,1.0,10.0,1.0,6.4,F
6.0,6.7,8.0,6.9,4.6,6.7,8.0,2.0,5.0,8.0,7.0,8.0,5.0,8.3,1.0,8.0,N
1.0,0.0,4.2,4.5,3.9,6.0,10.0,5.4,4.5,8.0,5.0,7.5,2.0,8.7,4.0,9.0,R
5.0,8.2,5.7,6.0,7.0,7.0,7.0,3.2,5.7,9.7,8.0,9.0,2.9,6.0,3.7,8.1,M
3.1,0.0,2.0,4.5,3.8,5.0,8.5,8.0,4.5,7.0,6.0,6.0,3.0,8.3,3.4,8.0,D
3.2,6.8,4.0,4.4,1.0,9.0,8.0,5.2,2.0,7.6,13.0,6.8,3.4,10.0,0.0,8.0,V
3.0,7.8,5.5,8.0,2.2,6.8,8.0,5.0,3.0,8.2,1.0,9.1,2.4,8.6,4.0,8.5,A
3.0,6.3,4.2,6.4,5.0,6.3,6.6,4.0,4.0,7.5,6.0,7.0,3.3,6.0,4.5,7.8,K
3.0,8.0,5.0,5.8,4.0,8.0,6.9,5.2,5.1,8.2,5.0,4.0,3.0,8.4,4.1,7.0,D
4.0,11.0,5.7,5.4,6.0,7.6,8.0,5.9,4.9,10.0,5.0,7.8,3.6,6.0,3.9,8.0,S
4.5,11.0,10.0,8.0,9.0,6.8,6.2,6.2,5.1,10.0,7.3,7.4,3.6,6.0,5.1,7.7,H
3.3,5.0,4.5,4.5,3.0,7.2,7.6,4.9,12.0,7.0,6.0,9.9,2.2,8.0,5.3,6.0,E
2.0,4.0,3.7,4.7,2.0,7.0,8.0,2.0,6.4,8.7,6.0,7.0,1.0,8.0,3.2,6.0,Z
4.0,6.4,6.0,5.0,4.0,8.0,9.0,4.0,4.0,7.4,7.0,8.0,4.3,8.8,3.7,8.0,O
4.0,6.0,4.4,7.0,4.3,6.3,7.5,6.0,4.7,7.0,6.4,8.6,3.0,9.0,3.1,8.0,Q
5.0,10.0,4.3,5.3,3.0,7.4,5.0,9.0,8.0,6.0,6.3,8.0,2.7,8.0,4.0,8.0,Q
3.7,7.0,3.8,5.0,3.1,1.0,6.6,5.0,5.0,8.8,5.5,7.7,0.0,8.0,0.0,8.0,L
3.5,1.0,2.0,2.9,2.6,7.0,7.0,4.0,2.0,7.1,8.4,8.0,3.6,10.0,0.0,7.9,V
2.0,4.4,3.0,4.7,3.6,7.2,7.0,3.0,5.6,6.0,6.0,8.0,2.0,8.1,5.0,8.0,X
2.8,9.0,10.0,5.6,12.0,7.0,6.0,3.5,5.0,7.5,6.0,8.0,5.2,8.0,4.1,9.0,V
5.0,10.0,8.0,7.0,4.5,9.0,6.0,2.0,5.1,9.0,4.4,8.0,10.0,8.6,3.0,6.0,M
4.1,6.0,5.0,4.0,4.0,4.0,9.0,4.5,7.0,7.3,10.0,6.0,2.5,8.7,3.8,7.3,Y
2.0,5.0,4.0,4.2,3.6,9.0,7.7,4.0,6.0,8.3,5.5,6.0,2.4,8.0,3.4,7.8,D
5.0,8.0,5.0,5.5,2.6,7.0,7.0,4.0,5.1,7.0,7.0,8.0,3.0,8.3,3.9,8.3,E
4.1,7.0,6.0,5.0,4.0,11.0,7.0,3.0,5.3,10.0,6.1,4.0,5.0,8.6,1.0,8.0,N
4.0,6.7,5.0,7.0,2.0,9.0,4.0,3.9,2.0,8.0,1.0,8.0,2.7,7.0,2.6,7.7,A
3.0,6.5,4.0,4.8,3.3,7.3,7.0,6.0,5.3,7.7,6.3,5.0,2.0,8.0,4.1,8.6,D
4.0,8.0,5.0,6.0,4.0,6.4,9.0,6.0,4.0,8.2,5.0,8.0,3.9,8.0,10.0,7.7,Z
4.1,5.0,4.7,4.6,2.0,5.0,9.0,4.7,4.0,6.6,6.5,7.6,5.0,8.8,0.0,7.0,N
3.0,6.3,4.2,6.0,2.0,6.4,7.0,6.8,4.0,7.0,5.9,8.2,3.0,8.2,4.0,8.1,X
4.0,9.0,6.0,6.3,7.0,7.2,8.7,5.3,6.0,10.0,6.5,7.0,6.0,8.4,3.3,9.1,F
6.0,5.5,5.4,6.7,4.0,7.9,7.5,4.0,5.3,7.3,4.0,10.0,5.0,8.5,2.0,7.0,N
4.3,7.0,4.0,4.9,1.0,6.8,8.5,6.0,6.0,5.6,6.2,6.0,0.0,8.0,0.0,8.0,L
4.0,6.6,5.6,5.1,4.3,7.0,7.8,3.9,4.3,10.0,6.0,8.1,5.0,9.0,4.1,7.0,N
1.0,5.9,3.0,4.6,3.1,7.0,6.9,4.2,9.0,7.4,6.0,6.5,1.0,8.6,5.0,8.2,Z
3.4,6.9,3.7,4.0,2.3,7.0,7.7,4.7,4.8,8.6,9.0,5.0,3.2,10.0,4.6,6.8,Y
0.0,6.6,0.0,1.0,0.0,7.4,7.0,4.0,6.2,7.7,6.4,7.6,1.6,8.0,3.0,8.0,I
8.0,7.5,6.2,5.0,9.0,4.0,10.0,2.0,3.0,9.0,7.5,7.0,9.0,13.0,3.0,5.0,W
2.0,1.0,4.4,3.6,3.3,6.5,9.0,5.0,6.0,7.0,9.0,9.0,3.3,9.0,1.0,7.6,U
6.0,10.0,4.0,5.0,3.3,8.0,7.0,6.0,6.0,9.0,4.0,9.3,5.0,7.7,5.0,8.1,O
3.6,4.0,5.0,3.0,2.4,5.0,12.0,3.0,6.0,9.9,9.0,6.1,1.0,11.0,1.0,6.6,T
4.6,5.0,6.0,6.7,4.0,7.9,6.0,4.9,6.1,8.3,6.1,8.6,3.3,8.6,4.9,6.0,O
3.7,7.0,6.3,5.5,4.4,6.8,9.0,4.0,0.0,8.0,7.0,7.6,4.2,11.0,5.0,7.0,P
4.9,8.4,5.7,2.0,2.8,6.1,9.7,3.6,6.0,12.0,9.0,10.0,1.0,9.0,2.0,7.1,C
3.0,6.9,5.2,5.3,4.2,6.0,6.0,6.0,6.0,10.0,7.0,8.0,2.7,10.0,3.9,9.0,G
4.0,8.0,5.1,6.4,8.0,8.0,7.0,5.0,3.0,8.0,7.0,7.1,6.0,10.0,8.0,7.9,B
3.0,4.0,4.3,4.9,3.0,5.0,8.0,5.5,6.6,7.0,6.3,8.3,3.0,8.0,5.0,8.3,K
4.5,7.5,8.0,6.0,3.4,6.8,8.1,3.0,4.2,9.0,10.0,7.0,3.6,10.0,2.8,6.0,W
2.0,5.7,4.0,4.0,2.0,6.8,8.6,3.0,6.3,4.0,11.0,8.0,2.1,8.9,1.0,7.6,V
3.6,6.0,3.5,4.0,3.3,7.0,11.0,4.1,2.0,7.0,8.0,8.3,3.6,8.4,1.0,8.0,W
5.0,7.6,4.6,5.9,7.0,6.0,6.0,7.9,4.1,8.1,5.0,8.0,6.0,7.8,7.0,10.0,H
3.3,6.6,6.2,4.3,2.9,7.0,8.0,3.0,12.0,10.2,6.0,8.9,0.0,8.7,7.0,7.0,Z
1.0,4.0,4.7,4.8,1.0,9.0,7.7,3.2,6.5,12.0,4.0,8.6,1.4,7.0,1.0,8.0,J
3.0,6.3,4.0,4.7,2.4,6.7,8.9,4.8,5.4,13.0,6.8,9.4,1.8,8.5,1.0,8.1,F
4.2,7.3,7.0,5.4,6.0,7.0,7.4,4.5,5.0,8.5,6.0,8.5,2.3,8.0,4.8,8.0,D
4.2,5.0,5.0,4.0,3.3,7.6,7.3,3.0,8.0,11.0,5.0,7.0,3.6,7.8,5.0,8.0,S
8.0,8.4,7.0,6.1,3.0,7.6,8.5,5.4,5.5,13.0,7.3,8.9,3.0,9.0,2.9,5.0,T
4.2,6.3,5.2,4.6,5.0,6.9,9.0,8.0,4.0,7.7,7.3,7.0,4.0,8.0,4.0,8.2,O
2.0,5.4,5.3,5.5,2.2,8.0,8.5,5.0,9.0,7.6,6.9,7.0,1.0,8.6,3.5,7.5,Z
3.0,9.0,5.0,5.2,3.0,7.6,6.9,10.0,6.0,7.0,5.4,9.2,1.9,8.5,9.0,10.0,B
3.0,2.0,4.0,3.0,2.3,7.4,10.0,4.0,6.5,7.4,6.6,6.4,1.6,9.0,3.0,7.2,F
6.0,9.0,10.0,7.0,11.0,6.5,7.6,4.8,4.5,9.0,4.0,6.9,11.0,6.0,3.8,7.0,M
3.7,5.0,4.0,4.0,1.0,7.2,8.0,3.8,5.0,6.0,11.0,8.0,0.0,8.3,3.7,8.3,T
4.5,11.0,4.2,6.0,3.0,6.0,7.0,3.5,4.0,8.9,4.0,7.9,5.0,8.0,4.2,7.0,O
2.0,6.3,3.0,3.0,2.6,5.0,8.3,4.0,6.0,7.9,5.0,7.6,3.0,8.0,2.2,10.0,K
1.0,6.5,3.0,4.0,1.0,7.6,8.4,2.0,9.0,7.9,6.0,8.0,2.3,8.3,5.0,8.2,Z
3.0,4.0,3.1,4.4,1.0,5.9,13.0,4.1,4.6,9.3,9.0,4.0,1.5,11.0,3.0,6.6,T
4.0,7.7,5.8,8.0,4.1,7.3,10.0,4.0,5.3,8.4,7.6,9.0,2.8,11.0,1.0,7.2,W
3.7,4.9,5.0,6.1,3.2,6.0,9.7,2.0,4.8,5.0,7.4,8.0,2.9,8.5,3.0,6.0,A
4.0,2.0,4.1,4.4,2.0,8.0,8.0,6.0,1.0,5.0,8.0,8.7,2.0,9.0,4.0,8.1,Q
5.2,10.0,4.7,14.0,6.0,8.0,6.1,4.4,5.0,8.5,6.0,8.0,4.3,9.0,13.0,6.0,Z
4.9,5.0,6.1,5.0,5.0,6.6,10.0,5.3,5.4,8.0,7.2,7.3,3.0,8.2,8.0,6.0,H
5.0,9.0,8.0,6.0,8.0,6.0,6.0,3.0,5.4,7.0,5.0,7.7,7.0,10.0,7.0,7.5,R
2.7,7.0,0.0,4.0,2.9,7.0,7.0,4.9,5.3,7.0,6.0,8.0,3.7,8.5,3.6,7.9,I
2.0,4.0,3.7,5.2,3.7,7.3,8.0,3.5,5.2,9.0,5.0,8.0,3.9,6.0,2.4,7.9,R
