x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,class
2.0,4.0,4.0,3.0,2.0,7.0,8.0,2.0,9.0,11.0,7.0,7.0,1.0,8.0,3.692892837312604,6.0,Z
4.0,7.0,5.0,5.0,5.0,5.0,9.0,6.0,4.0,8.279413398511277,7.0,9.0,2.0,9.0,7.0,7.7940587449933245,P
7.0,10.0,8.0,7.0,4.0,8.0,8.0,5.0,10.0,11.0,2.0,8.0,2.0,5.0,5.0,10.0,S
4.0,9.0,5.0,7.0,4.0,7.0,7.0,13.0,1.0,7.0,6.0,8.0,3.0,8.0,0.0,8.0,H
6.0,7.0,8.0,5.0,3.5003345600535294,7.0,7.499777728384085,3.0,7.0,10.0,7.0,9.0,3.0,8.0,3.0,7.0,H
4.0,7.0,5.0,5.374186731913474,3.0,4.0,12.0,2.0,5.0,13.0,7.0,5.0,1.0,10.0,1.0,7.0,F
6.0,10.0,8.0,8.0,4.0,7.0,8.0,2.0,5.1781749555950265,10.0,7.0,8.0,5.0,8.0,1.0,8.0,N
1.0,0.0,2.0,0.0,1.0,6.0,10.0,7.0,2.0,7.0,5.0,8.0,2.0,7.0,4.0,9.0,R
5.0,9.0,7.0,5.374186731913474,7.0,7.0,7.0,2.0,4.0,8.279413398511277,8.0,9.0,7.0,6.0,2.0,8.0,M
1.0,0.0,2.0,5.374186731913474,1.0,5.0,7.499777728384085,8.0,6.0,7.0,6.0,6.0,2.0,8.0,3.0,8.0,D
2.0,7.0,4.0,5.0,1.0,9.0,8.0,4.63368747233289,2.0,8.279413398511277,13.0,8.0,3.0,10.0,0.0,8.0,V
3.0,7.032919979981093,5.0,8.0,3.0,13.0,4.0,5.0,3.0,12.0,1.0,7.933929265448892,2.0,6.0,4.0,9.0,A
3.0,7.032919979981093,5.0,5.374186731913474,5.0,8.0,7.0,4.0,4.0,8.279413398511277,6.0,7.0,4.0,6.0,8.0,13.0,K
3.0,8.0,5.0,6.0,4.0,6.902525476295968,8.0,4.0,5.0,9.0,5.0,4.0,3.0,8.0,3.0,7.0,D
8.0,11.0,9.0,8.0,3.5003345600535294,7.0,8.0,3.0,6.0,10.0,5.0,7.933929265448892,4.0,6.0,6.0,8.0,S
7.0,11.0,10.0,8.0,9.0,9.0,7.0,3.0,6.0,10.0,4.0,7.0,5.0,6.0,4.0,9.0,H
5.0,5.0,5.0,7.0,3.0,3.0,7.0,6.0,5.1781749555950265,7.0,6.0,15.0,0.0,8.0,7.0,6.0,E
4.015570454923256,4.0,5.0,3.0,2.0,7.0,8.0,2.0,9.0,11.0,6.4479444444444445,7.0,1.0,8.0,5.0,6.0,Z
4.0,7.0,6.0,5.0,4.0,8.0,9.0,8.0,4.0,7.0,7.0,7.0,3.0,8.0,3.0,8.0,O
