"x.box","y.box","width","high","onpix","x.bar","y.bar","x2bar","y2bar","xybar","x2ybr","xy2br","x.ege","xegvy","y.ege","yegvx","class"
3.06376431266313,6.10565437634268,4,3.7389317541024,2.21020038860709,5.8603550375657,8.84780727882759,2,9,8.76313945292597,7,7,1,9.60256474239486,5.31489904062609,6,"Z"
4,7,4.5217070886612,6.16729691596938,2.98777114404467,5,7.98896096072678,6,4,8,7.29333094546407,9,2,9,2.67935239800497,8.17251778220472,"P"
7,10,8,5.8916784691496,2.50132096643025,8,8,5,10,11,5.22936075547047,8,2.89274893268197,5,5,10,"S"
4.90688810613722,6.92409091972659,5,7,4,7,7,13,1,7,6,8,4.70695568035915,8,2.38640800026165,8.11793166889368,"H"
6,7,8,5,4.5193676064118,7,6.67939306997793,5.20852141748915,7.2683752206686,10,6.96437291187817,9,4.62105290380653,8,3,7.4557160736135,"H"
3.89262820133363,7,5,5.4505457624535,3,4,12,2,5,13,7,5,1,10,1,6.11019418457577,"F"
5.82660798417987,10,8,8,5.23673275468952,7,8,2,3.17957705106565,10,7,8.36276253852861,5,8,1,8,"N"
1,0.545265002803219,2,0,1,6,10,4.53905599826407,5.81595852240216,7,8.12823251240792,8,2.95654340882548,7,4,9,"R"
4.96334958891456,8.86354126321495,7,4.72092891346012,4.83968001391016,7.76020687835543,7,2,4,9,8,10.232917999897,7,6,2,8,"M"
1.22808112631304,0,2,1.31732886883922,1,7.23868506112262,7,8,4.38783742643031,7,6,6,1.43326872855155,8,3,9.64149209991509,"D"
3.04625016779478,6.01214906318996,4,5,1,6.33245134669749,8,4,2,5,7.88545587152408,8,2.54312087215606,9.70455333029736,0,8,"V"
3,11,5,8,3,11.8620578709109,4,5,3.26257158996138,12,1,8,2,6,0.189812255325567,8.47607389940349,"A"
4.07850330739836,6.95439881544559,5.37493536026575,5,5.06287135018372,7.88158385852119,7,4,6.06103425620734,8.06367083636432,3.08754733625242,7.31655504799007,4,6,8,9.97663238328249,"K"
4.45566521501821,8,5.84152852373405,6,3.87855377444567,8,8.16498026875318,4,5,9,5,4,3.38812392181658,8,3,7,"D"
8,11,9,8,5.22730833154107,6.66994820616952,8,8.05914530843471,7.08396968941654,10.3701081199263,5,7,4,6,5.59553860459739,8.76494308021545,"S"
7,11,10.321060344935,9.85332000455825,9,9,7,3,5.62281192551627,12.1918457348956,5.52930261942553,7,5,7.64577601319434,4,8.03770005879724,"H"
4.18208289535501,9.36764140908264,5,7,3,5.98092845392202,6.97168448145803,3.89999429192685,12,8.69720920049097,6,8.62348244803237,-1.38370487913223,8,7,7.38314922904852,"E"
4.24292505150061,7.67051884909746,5,5.06731150082951,2,7,7.49693735232524,2,6.4017140068169,11,5.79110943483058,7,2.63421557523225,8,1.3727342512116,6,"Z"
4,7,6,5,4.36429642831822,8,9,8,4.01469500384855,7,7.91026928810788,7.0617872542156,4.45871294832903,8,3,8,"O"
3.18517481968945,6,5.01479913221432,7,5,6.208690048674,8,3.79600476789562,2,7,7,11,3,10.0603326321196,5,8,"Q"
5,10,7,9,5.5518158525915,8,5,4.69309269602013,8,6,4,8,2.9157485485954,6.25398111271934,6.46603309902574,7.62804714625848,"Q"
3,6.87264710243402,3,5,2.21745204407791,1,6.13433293481729,5,7.75187262397006,5.76109148510929,1,7.98191247052764,0.0769053657775971,5.56823523763131,5.31379491975284,8,"L"
1,3.00589354081103,1.65503402666524,2.56159763576418,0,6.81178551412083,9,4,2,7.65097638743753,8.43050325615595,8,2,10,-0.985193521745763,8,"V"
2,2.35315468978569,3.42074408245002,2,2.26140597254003,8,7.39446762125026,5.81141338397432,7.72785451561415,8.42214571120832,6,8,2.42048842213253,6.65133485105596,5,8,"X"
8,9,8.57984851460284,6.90337150620515,6.30008994043972,7.29953207059581,6,5,5,9.42606060821518,6,8,7,6.87637803870982,6,7.94504871567924,"V"
5,9.64579777969946,8,7,11,9,6,5.00412615399142,2,8,7.72741130784886,6.61431376059566,10,10.4893557536352,3,6,"M"
3.74976295613388,6,5,4,2.25973195115402,5.46151704958628,9,3.58209526661293,7,10.3699487826035,7.87192422887656,6,1,10,2,4,"Y"
2.96549323810696,5,4,4,2.46883154055647,9,7.61070840259646,6.2150405823045,6,10,4.96795253053712,6,2,8,4.14171686833476,8,"D"
3,8,5,6.19645983271069,5,8.42054743597302,8.11627454706272,7.39034919206237,8,7.23874469426519,7,8,3,8.09867979643967,5,10,"E"
4.87186677455526,7,5.74228965012228,5,4,7.98034550816838,5.73998586850118,3,5,7.33309814675569,1,4.99532724841053,5,9,5.23615360471821,7,"N"
4,10,6,7.11857117948992,2,9,4,-0.883598121682043,2,8,2.07581577556988,10.5550213081198,-0.282269231938096,7,3,8,"A"
2.37969480131473,4,4,4.4484269524584,3,5.71222169397054,7.27083590562377,6,7,7,6.73404396300012,7.42896099517906,2,8,3,7,"D"
3.99677089274615,8,4.91803297941668,6,3.34125126632061,9,6.07031597196056,6,4,7,5,8,3,8,3.3458441005041,11.3876684827143,"Z"
3,5,5,3,2,8.29924879898707,9,4.80625639817852,4,10,6.7192890214803,6.90093413272457,5,8.16506779625758,-0.681992809545131,7,"N"
4,9.27074520522733,5,8,2,7,7,4.34263868591315,4,7,6,8,3,8,-0.885533557489063,7.76453532480996,"X"
5.10163321224274,9,6,6.82273103768218,7,6,10.5457616310324,1,3.20323735772325,10,8.66491556405255,7,6,11,5.47896702904167,5,"F"
6,9,5,4,1.46453655085858,4.68601652315014,5.27694013797864,7.63602066645281,5,4,4,6.89604773905926,5,8.00563680590425,2,8.24061449591622,"N"
3,4,4,7,1,0,1,9.58152558453318,6,1.15869772515918,0,12.0821753206712,-1.11910737685724,8,1.49942756386914,8,"L"
4,5,6,4,3,9.59372463989189,8,2,4.11499319548903,10,5.50390834714949,6,5,9,1,8.02485645296593,"N"
2.21750089599584,3.32042590659013,3,2,1.51212026347554,6.35437567348051,6.70977830931287,3.63518766178098,9,8.91085898467206,6,8,0.924231352550638,8.27543639180063,5,7,"Z"
4.48395264058311,5.72923443116156,4.84655237558443,4.82011587124727,3,7,8.9339931909443,4,4,9,7.71434401332741,5.10930376595829,2.50878232446827,10,4,4,"Y"
0,0,1.48247319061358,1,0,7,7,4,5.82255542647492,7,6,8,0.339381698820239,8,1.89708106573116,8,"I"
8,11,8,8,4.71856104042873,4,10,2,5.22295055150273,9,10.3474394475342,6.78080438784624,4.11302308675981,13,3,5,"W"
2,1,4.17833002749694,2.36128647287445,2,7,6.97333781683292,3.83723225563684,6,7,8.58258580783876,9,3.04665054851078,9,1,8,"U"
6,10,4,5.92548411509411,3.09745035050497,8,7,6,5,9,4,7.74658905436183,5,9,7.36574218211917,9,"O"
3,3.47006993472001,4,3,2,4.7128828494033,12,5.01611498103819,5.88244011791399,10.3086638299498,9,4.87660576622398,1,11,2.86387231615509,5,"T"
