sepal_length;sepal_width;petal_length;petal_width;species
5.1;3.5;1.4;0.2;setosa
4.9;3.3099999999999996;1.4;0.19;setosa
4.7;3.2;1.3;0.41;setosa
4.95;3.1;1.5;0.85;setosa
5.0;3.35;1.4;0.2;setosa
5.4;3.9;1.7;0.26;setosa
5.0600000000000005;3.4;1.4;0.22000000000000003;setosa
5.0;3.4;1.5;0.26000000000000006;setosa
4.4;2.9;1.4;0.52;setosa
4.9;3.1;1.45;0.1;setosa
5.4;3.7;1.5;0.26;setosa
4.8;3.4;1.8199999999999998;0.2;setosa
5.16;3.0;1.4;1.0;setosa
4.3;3.0;1.1;0.1;setosa
5.8;4.0;1.2;0.2;setosa
5.7;4.4;1.5;0.4;setosa
5.4;3.9;1.3;0.4;setosa
5.1;3.45;1.4;0.3;setosa
5.7;3.8;1.7;0.3;setosa
5.1;3.4799999999999995;1.5;0.25000000000000006;setosa
5.4;3.44;2.09;0.2;setosa
5.1;3.7;1.46;0.4;setosa
5.843589743589743;3.0572649572649575;3.8114754098360657;0.2;setosa
5.1;3.53;1.7;0.5;setosa
4.8;3.4;1.9;0.2;setosa
5.0;3.0;1.6;0.5700000000000001;setosa
5.0;3.4;1.6;0.4;setosa
5.2;3.5100000000000002;1.5;0.2;setosa
5.2;3.4;1.4;0.2;setosa
4.7;3.2;1.6;0.5;setosa
4.8;3.1;1.6;0.2;setosa
5.4;3.4;1.5;0.21000000000000002;setosa
5.25;4.1;1.5;0.1;setosa
5.5;4.2;1.4;0.2;setosa
4.9;3.1;1.5;0.1;setosa
5.0;3.2;1.2;0.2;setosa
5.843589743589743;3.0572649572649575;3.8114754098360657;0.2;setosa
5.07;3.3800000000000003;1.5;0.1;setosa
4.4;3.0;1.3900000000000001;0.2;setosa
5.22;3.4;1.94;0.2;setosa
5.0;3.38;1.3;0.3;setosa
5.0;3.4099999999999993;1.3;0.3;setosa
4.4;3.2;1.3;0.2;setosa
5.0;3.28;1.46;0.6;setosa
5.5;3.8;2.02;0.4;setosa
4.8;3.0;1.44;0.3;setosa
5.1;3.8;1.6;0.2;setosa
4.6;3.2;1.4;0.31;setosa
5.3;3.7;1.5;0.2;setosa
4.93;3.34;1.4;0.2;setosa
7.0;3.0;4.7;1.4;versicolor
6.4;3.2;4.5;1.5;versicolor
6.409999999999999;3.1;4.9;1.5;versicolor
5.749999999999999;2.3;4.0;1.3;versicolor
6.5;2.8;4.6;1.5;versicolor
5.7;2.8;4.5;1.3;versicolor
6.3;3.3;4.7;1.6;versicolor
4.9;2.4;3.3;1.0;versicolor
6.16;2.93;4.6;1.3;versicolor
5.859999999999999;2.7;3.9;1.4;versicolor
5.0;2.0;3.5;1.0;versicolor
5.9;2.7499999999999996;4.2;1.5;versicolor
5.700000000000001;2.64;4.0;1.0;versicolor
5.843589743589743;2.9;3.8114754098360657;1.2179487179487178;versicolor
5.6;2.63;3.6;1.3;versicolor
6.7;3.1;4.4;1.4;versicolor
5.6;3.0;4.5;1.5;versicolor
5.71;2.7;4.1;1.0;versicolor
6.2;2.2;4.62;1.5;versicolor
5.6;2.5;3.9;1.1;versicolor
6.34;3.2;4.8;1.8;versicolor
6.1;2.7199999999999998;4.0;1.3;versicolor
6.3;2.5;4.9;1.5;versicolor
6.1;2.8;4.7;1.2;versicolor
6.050000000000001;2.9;4.3;1.3;versicolor
6.6;3.0;4.4;1.4;versicolor
6.8;2.8;4.220000000000001;1.4;versicolor
6.7;3.0;5.0;1.7;versicolor
6.0;2.87;4.5;1.5;versicolor
5.659999999999999;2.6;4.1499999999999995;1.0;versicolor
5.5;2.4;3.8;1.1;versicolor
5.5;2.4;3.9300000000000006;1.2600000000000002;versicolor
5.8;2.7;3.9;1.2;versicolor
6.0;2.7;5.1;1.6;versicolor
5.4;3.0;4.5;1.35;versicolor
6.0;3.0572649572649575;3.8114754098360657;1.2179487179487178;versicolor
6.7;3.1;4.7;1.6300000000000001;versicolor
6.03;2.91;4.4;1.3;versicolor
6.01;3.0;3.9599999999999995;1.3;versicolor
5.5;2.5;4.0;1.3;versicolor
5.5;2.6;4.4;1.1300000000000001;versicolor
6.1;3.0;4.6;1.4;versicolor
5.8;2.7399999999999993;4.0;1.2;versicolor
5.0;2.67;3.3;1.0;versicolor
5.6;2.7199999999999998;4.2;1.3;versicolor
5.7;3.0;3.6700000000000004;1.2;versicolor
5.7;2.9;4.2;1.42;versicolor
6.2;2.9;4.3;1.3;versicolor
5.843589743589743;3.0572649572649575;3.0;1.2179487179487178;versicolor
5.7;2.8;4.1;1.3;versicolor
6.3;3.3;6.0;2.0;virginica
5.8;2.7;5.1;1.9;virginica
6.65;3.0;5.9;2.1;virginica
6.3;2.9699999999999998;5.1000000000000005;1.8;virginica
6.5;3.0;4.82;2.2;virginica
6.74;3.0;6.6;2.1;virginica
4.9;2.5;4.5;1.7;virginica
7.3;2.9;6.3;1.8;virginica
6.7;2.5;5.8;1.7900000000000003;virginica
6.760000000000001;3.6;6.1;2.5;virginica
6.24;2.7700000000000005;5.1;2.0;virginica
6.4;2.7;5.3;1.9;virginica
6.8;3.0;5.5;2.04;virginica
5.7;2.5;5.0;2.0;virginica
5.8;2.8;4.39;1.4300000000000002;virginica
6.4;3.2;4.8500000000000005;1.8200000000000003;virginica
6.5;3.0;5.5;1.8;virginica
7.7;3.8;6.7;1.7399999999999998;virginica
7.7;2.6;6.9;2.3;virginica
6.0;2.2;5.0;1.5;virginica
6.9;3.2;5.7;2.3;virginica
5.6;2.8;4.9;2.0;virginica
7.7;3.17;6.7;2.0;virginica
6.159999999999999;2.7;4.9;1.8;virginica
6.22;3.3;5.7;1.6300000000000001;virginica
7.2;3.2;6.0;1.8;virginica
6.2;2.8;4.8;1.8;virginica
6.1;3.0;4.9;1.8;virginica
6.4;2.8;5.6;2.1;virginica
7.2;3.0;5.8;1.9499999999999997;virginica
7.4;2.8;5.35;1.9;virginica
7.9;3.8;6.4;2.0;virginica
6.4;3.12;5.6;2.2;virginica
6.3;2.8;5.1;1.5;virginica
6.1;2.6;5.6;1.4;virginica
6.710000000000001;3.0;6.1;2.3;virginica
6.3;3.4;5.6;2.4;virginica
6.4;2.9699999999999998;5.130000000000001;1.8;virginica
5.843589743589743;3.0572649572649575;3.8114754098360657;1.8;virginica
6.9;3.1;5.4;1.9799999999999998;virginica
6.7;3.1;5.6;2.04;virginica
6.9;3.1;5.1;2.3;virginica
5.8;2.7;5.1;1.9;virginica
6.8;3.2;5.9;2.3;virginica
6.7;3.3;5.7;2.5;virginica
6.450000000000001;3.0;4.25;2.3;virginica
6.3;2.5;5.0;1.67;virginica
6.5;3.0;5.2;2.0;virginica
6.2;3.4;5.4;2.3;virginica
5.9;3.0;4.109999999999999;1.8;virginica
