sepal_length,sepal_width,petal_length,petal_width,class
5.1,3.5,1.4,0.2,setosa
4.9,3,1.4,0.2,setosa
4.7,3.2,1.3,0.2,setosa
6.27006698982838,3.1,4.27093890145802,1.43255298229339,setosa
5,3.6,1.4,0.2,setosa
5.4,3.9,1.7,0.45768390219986,setosa
4.6,3.4,1.4,0.35729722643142,setosa
5,3.4,1.5,0.2,setosa
4.4,2.9,1.4,0.2,setosa
4.9,3.1,1.5,0.41958228826386,setosa
5.1907542615933,3.7,1.5,0.2,setosa
4.8,3.4,1.2367080528805,0.2,setosa
4.8,3,1.4,0.0784677915636915,setosa
4.3,3,1.1,0.1,setosa
5.8,4,1.2,0.2,setosa
5.39178414354338,3.32316301973566,1.5,0.157759861527036,setosa
5.4,3.9,2.0237489467702,0.4,setosa
4.70378039813419,3.5,1.4,0.3,setosa
5.7,3.8,1.7,0.3,setosa
5.1,3.8,1.5,0.3,setosa
5.38223684878068,3.4,1.7,0.2,setosa
4.81841795281322,3.7,1.5,0.4,setosa
4.6,3.6,0.991253625010267,0.2,setosa
5.1,3.3,1.7,0.5,setosa
5.52620021422314,3.4,1.9,0.2,setosa
5.26146750721094,3,1.6,0.2,setosa
5,3.4,1.6,0.4,setosa
5.2,3.5,1.5,0.2,setosa
5.2,3.4,1.82331877223292,0.2,setosa
4.7,3.2,1.36187162565539,0.162241073816175,setosa
4.8,3.1,1.6,0.2,setosa
5.4,3.4,1.5,0.4,setosa
5.00733282419263,2.83853986090099,1.5,0.1,setosa
5.5,4.01603653513272,1.20521126253579,0.2,setosa
4.9,3.40289567436822,1.5,0.1,setosa
5,3.71541595979412,1.2,0.2,setosa
5.5,3.70517641998606,1.3,0.254847007940363,setosa
4.9,3.1,1.5,0.131578038449543,setosa
4.4,3,1.3,0.2,setosa
5.37132299447026,3.4,1.5,0.0888125939267108,setosa
5,3.5,1.3,0.269566496254645,setosa
4.5,2.3,1.3,0.3,setosa
4.4,3.01697179483115,1.3,0.2,setosa
5,3.5,2.14328292092776,0.6,setosa
5.1,3.8,1.9,0.4,setosa
4.8,3,1.4,0.3,setosa
5.1,3.8,1.6,0.2,setosa
4.6,3.2,1.4,0.191167544431549,setosa
5.3,3.7,1.5,0.2,setosa
5,3.3,1.4,0.2,setosa
7,3.47193824567622,4.7,1.4,versicolor
6.4,3.2,4.27354159925278,1.5,versicolor
6.9,3.1,4.9,1.5,versicolor
5.35542447525714,2.3,4,1.3,versicolor
6.5,2.8,4.6,1.5,versicolor
6.12193559614173,2.8,3.86491729202107,1.3,versicolor
6.3,3.3,4.7,1.6,versicolor
