x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,class
2.0,4.0,4.0,3.0,2.0,7.0,7.9,2.0,9.0,11.0,7.0,7.0,1.0,8.0,5.0,6.0,Z
4.0,7.0,5.3,5.5,5.0,5.0,9.0,6.0,4.7,8.0,7.0,9.0,2.0,9.0,7.0,10.0,P
7.0,10.3,7.1,7.0,4.0,8.0,6.9,5.0,10.0,11.0,2.0,8.0,2.0,7.0,5.5,10.0,S
4.0,9.3,5.0,7.0,4.0,7.0,7.0,13.0,1.0,6.9,6.0,7.8,3.0,8.0,0.7,8.0,H
6.0,7.0,8.0,5.0,4.8,7.0,6.0,3.0,7.0,10.0,6.1,9.0,3.0,8.0,3.0,7.0,H
4.0,7.0,5.0,5.0,2.6,4.0,12.0,2.0,5.0,13.0,7.0,5.0,1.0,10.0,1.0,7.0,F
6.1,10.0,8.0,8.0,4.0,7.0,8.0,2.0,5.0,10.0,7.0,8.0,5.0,8.0,1.0,8.0,N
1.0,0.0,2.0,0.0,1.0,6.0,10.0,7.0,2.0,7.0,5.0,7.8,2.0,7.0,4.0,9.0,R
5.0,9.0,7.0,6.0,7.0,7.0,7.0,2.0,4.0,9.0,8.0,9.0,7.0,5.8,2.0,8.0,M
1.0,0.0,2.0,1.0,1.0,5.0,7.0,8.0,6.0,7.0,6.0,6.0,2.0,8.0,3.0,8.0,D
2.0,7.0,4.0,5.0,1.0,9.0,8.0,4.0,2.0,5.0,12.5,8.0,3.2,10.0,0.0,8.0,V
3.0,11.0,5.0,8.0,3.0,13.0,4.0,5.0,3.0,12.0,1.1,8.0,2.0,6.0,3.1,8.7,A
3.0,7.0,5.0,5.0,5.0,8.0,7.0,4.0,4.0,7.0,6.0,7.0,4.0,6.0,8.0,13.0,K
3.5,7.8,5.0,6.0,4.9,8.0,8.0,4.0,5.0,9.0,5.0,4.0,3.8,8.0,4.1,7.0,D
8.0,11.0,9.0,8.0,6.0,7.0,8.0,3.0,6.0,10.0,5.0,7.0,4.0,6.0,6.0,7.7,S
7.0,11.0,10.0,8.0,9.0,9.1,7.0,3.0,6.0,9.4,4.0,7.0,4.0,6.0,4.0,9.0,H
5.0,5.0,5.0,7.0,3.0,3.0,7.0,6.0,12.0,7.0,6.0,15.0,0.0,8.0,7.1,6.0,E
2.0,4.0,5.0,3.0,1.8,7.0,7.8,2.0,8.8,11.0,6.5,7.0,1.0,8.0,5.0,6.0,Z
3.8,7.0,6.0,5.0,4.0,8.0,9.0,8.0,4.0,7.4,7.0,7.0,3.4,8.0,3.0,8.0,O
4.0,5.9,4.4,7.0,4.0,8.0,8.0,5.5,2.0,7.0,7.0,11.0,3.0,9.0,5.0,8.0,Q
5.0,10.0,7.0,9.0,3.0,8.0,5.0,9.0,8.0,6.0,4.0,8.0,3.0,8.0,4.0,8.0,Q
3.0,7.0,3.0,5.0,1.0,1.0,1.0,5.0,5.0,0.0,1.0,6.0,0.0,8.0,0.0,8.0,L
1.0,1.0,2.0,1.0,0.1,7.0,8.9,4.0,2.0,7.0,13.0,8.0,2.0,9.8,0.0,8.0,V
2.0,1.0,2.7,2.0,1.0,8.0,7.0,3.0,8.0,6.0,6.0,8.0,2.0,8.0,5.2,8.0,X
8.0,9.0,10.0,8.0,12.0,7.0,7.4,5.0,5.0,7.0,6.0,8.0,8.9,10.0,6.0,9.0,V
5.0,9.0,8.0,7.0,11.0,9.0,6.0,2.0,2.0,8.0,4.0,8.0,10.0,6.4,3.0,6.0,M
5.0,6.0,5.0,4.0,3.0,4.0,9.9,1.0,7.0,10.0,10.0,6.0,1.0,10.0,2.0,4.0,Y
2.0,4.7,4.0,4.0,3.0,9.0,6.0,4.0,6.0,10.0,4.0,6.0,2.1,8.0,3.0,8.0,D
3.0,8.0,5.0,6.0,5.0,7.0,7.0,4.0,8.0,7.0,5.5,8.0,3.0,8.0,5.0,10.0,E
4.0,7.0,6.0,5.0,4.0,9.6,7.0,3.9,5.0,9.4,1.0,5.1,5.0,9.0,1.9,7.0,N
4.0,10.0,6.0,7.0,2.0,9.0,4.0,3.0,2.0,8.0,1.0,8.0,3.0,7.0,3.0,8.0,A
3.0,4.0,4.0,3.0,3.0,7.0,7.0,6.0,7.0,7.0,6.0,5.0,2.0,8.0,3.0,7.0,D
4.2,8.0,5.7,6.0,4.0,9.0,9.0,6.0,4.0,7.0,5.0,6.9,3.0,8.0,10.0,7.0,Z
3.0,5.0,5.0,3.0,2.0,5.0,9.0,3.0,4.0,10.0,8.0,8.0,5.0,7.9,0.0,7.0,N
4.0,11.0,5.0,8.0,3.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,3.0,8.0,4.0,8.0,X
4.0,9.0,6.0,6.5,7.0,7.2,8.0,1.0,4.0,8.1,8.0,7.0,6.0,11.0,5.0,5.0,F
6.0,9.6,5.0,4.0,2.0,5.5,9.0,4.0,5.0,4.0,4.2,10.0,5.0,10.0,2.0,8.0,N
3.0,4.0,4.0,7.0,1.0,0.0,1.0,6.0,6.0,0.0,0.0,6.0,0.0,8.0,0.0,8.0,L
4.0,5.0,6.0,4.0,3.0,6.9,8.0,2.0,5.0,10.0,6.0,6.0,5.0,8.5,1.0,7.0,N
1.0,3.0,3.0,2.0,1.0,7.0,7.4,2.0,9.0,11.0,6.1,8.0,1.0,8.0,5.0,7.0,Z
6.0,9.0,6.0,5.0,3.0,7.0,6.0,4.0,4.0,9.0,7.2,5.0,3.0,9.4,4.0,5.5,Y
0.0,0.0,0.0,1.0,0.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,0.0,8.0,0.0,8.0,I
8.0,11.0,8.0,8.0,9.0,5.3,10.0,2.0,3.0,9.0,8.0,7.0,9.0,11.2,3.0,5.0,W
2.0,2.4,3.0,2.0,2.0,7.0,9.0,5.0,6.0,7.0,9.0,8.5,3.0,9.0,1.0,8.0,U
6.0,10.0,4.0,5.0,2.0,8.0,7.0,6.0,5.2,8.8,5.0,7.7,5.0,8.4,5.0,9.0,O
3.0,4.0,4.0,3.0,2.0,5.0,12.0,3.0,6.0,11.0,9.0,4.0,1.0,11.0,1.0,5.0,T
3.2,5.9,5.1,4.0,3.4,7.0,6.0,5.0,5.0,8.0,5.0,8.0,3.0,7.0,4.5,6.0,O
4.0,7.0,6.0,10.0,9.0,8.0,9.5,4.0,0.0,8.0,7.0,6.0,5.0,11.0,5.0,7.0,P
2.0,3.0,2.0,2.0,1.0,4.0,9.0,5.0,6.0,12.0,9.0,10.0,1.0,9.0,2.0,7.2,C
