"x.box","y.box","width","high","onpix","x.bar","y.bar","x2bar","y2bar","xybar","x2ybr","xy2br","x.ege","xegvy","y.ege","yegvx","class"
3.15460423160424,4.76366375893657,4,3,2,7.41274688851005,8,2,6.40803939013427,9.21467959345276,5.10952535470787,7,1.68451676508502,8,5,7.74232795589784,"Z"
3.60144033181985,7,5,6.66517030980443,5,5,9,6,4,7.23410566476015,7,8.9303526522712,2,9,5.55808728271878,10,"P"
7,10,8,7,4.40818729614415,6.81173766640259,8,4.35263412140789,10,10.1268264228156,5.78794752365868,8.89086923856591,2.63628811282359,8.41802462569296,7.29997727339759,10,"S"
4.29810326247579,7.87811949817505,5,7,3.20817674144325,6.82097438029715,7.33234502260366,13,1,7,7.93710439117968,7.40813617296497,3,8,0.560296068518347,8,"H"
5.51679060932006,7,8,5,4.62961801996196,7.50767107547938,6,3,6.59333830828424,10,5.48204951128944,8.13858542142632,3.87619974200205,7.47483258630498,2.82759093448202,7,"H"
3.81553203126993,7,4.59020397846687,5.22344827168484,2.26833627793634,4,9.88309433970042,4.09473950440477,5,8.92318762948075,7.81944446063676,5,1,10,1,6.04979018211414,"F"
6,9.41019218102357,8,6.24223834043461,4.33523876500908,6.69886459514258,8,2,5,10.2646525068094,7,8,5,8.54056336834984,1,7.11330047270069,"N"
1,0,2.93135571546426,1.31967811709798,2.13429317382291,6,10,4.46336266930489,4.54588534155724,7.23505048583647,5,6.13524596401702,2,8.19542037595646,4,9,"R"
5,8.21712219123098,7.17505906087621,6,7,6.77677441014838,7,5.25615655625666,5.63184511651024,8.65831316540758,8,9,6.14183665939664,6,5.65601337129586,6.24810692887417,"M"
1.37807148682819,0,2,1.33845755556693,1.25601682651742,5,8.4284205117815,8,4.32841263391522,7,6,6,1.54416257023,8.38627782201493,2.83841215858409,8,"D"
3.2698222289095,5.60597954210668,4,4.49360349115502,1,9,8,5.87572497764118,2,7.58794594118405,13,10.5059247889434,3.83962541280793,10,0,8,"V"
3,8.93326632621556,4.52321368407391,8,4.75709933124674,8.6405865154334,4.99898369747489,5,3,6.57680045377903,1,6.62754349666003,2.5896892132703,6.49558876727434,4.5612479982746,9.17485192862685,"A"
3,6.81134520660949,5.24128775837309,5.76967836867715,5,7.81115546669895,7.0433545525742,4,4,8.30721987825413,6,7,4.15107098477175,6,3.67521249497334,6.73849376040677,"K"
3,8,5,5.87881981688891,4,8,8.52399532393961,3.00705199556396,5.1583264750467,7.81521454736578,5,4,3,8.04152558884748,3.03653792662443,7,"D"
4.89898739724987,11,6.56510437413813,8.00829067274218,6,7.86502182013605,6.39289804307515,4.340204795283,5.70743742798584,10,5,8.67648344500564,4.02154654193569,6,5.16079508585123,8,"S"
7.0769431636108,11,10,8,9,8.12281931451349,6.2625353464622,2.96197340746695,6.37999469356812,10,3.52116555991371,8.36567560343889,6.52688343999249,6,7.61978530045987,7.85566147687691,"H"
3.45598400919567,5,4.98953359067843,4.17452177016415,3,5.37910014594596,6.95190917267548,3.65394561242425,12,7,6,8.37961822365981,0.59456301623844,8,6.90010278261029,6,"E"
2,4,3.68031575711066,3.32608913012203,2,7,8,2,6.04805347878079,9.31529961668531,6.60683767830708,7,1,8,2.64101449759781,6,"Z"
4,7.13527365403237,6,5.7058011623622,4,8,9,3.77457826786837,4,8.22703236400603,7,6.92697634760655,3.69850606823248,8.6691232401763,3.25991224949867,8,"O"
4,6,5.36970000773843,7,3.90531984579372,6.53912229807709,7.74448666088184,6,4.53848449454074,7,7.5159925687617,8.13186440260273,3,9,3.89300897261512,8,"Q"
5,10,5.33130808400137,7.28879373973311,3,6.81247941048803,5,9,8,6,5.35246440741695,8,2.08973297704532,8,4,8,"Q"
3.563520702395,7,4.28434365902552,5,1.13158582496437,1,9.94546152967531,5,6.1287541393012,8.07816877055929,8.61294051050656,8.77555277578966,0,9.17237344391719,0,8,"L"
1.16740599980244,1,2,1.60181414832765,0.929022613406967,7,7.93492435758741,5.55716940366045,2,7.38503200278162,8.89221971809161,8,2.99086095281358,10,0,7.74310404403891,"V"
2,5.06208798915637,3,4.15802270851915,2.70509332194401,7.09809644103103,7,3,5.45175420547255,6,6,8,2,8.56609263835587,5,8,"X"
6.58331495530901,9,10,8.62453461225745,12,7,6,5.19282368631673,5,6.46960549326361,6,8,8.83215261796781,8.60408008596128,8.74970625122591,9,"V"
5,10,8,7,8.07929004068525,9,6,2,2.8390088688212,6.46474945154605,6.33138921251592,8,10,7.281775901263,3,6,"M"
3.96790699881149,6,5,4,2.50358860308593,4,9,3.52952943572091,7,8.34342258925391,10,6,1.71657235012985,10.0258489639396,1.56900353476577,4.72243055938848,"Y"
2,5,4,4.36654647558394,2.99197845813273,9,7.42877032061844,4,6,8.32411893883984,5.1740871880128,6,1.67581114663696,8.03234747668198,3.65919607112718,7.92200046401699,"D"
3.98985159022302,8,5.04387299145767,6.14146851206217,3.52279477460074,7,7,5.30149823036546,5.23700864452246,7,7,8,3,8.49538287756934,3.55312386763276,7.57878366970642,"E"
3.99966887254035,7,6,5,4,11,7,3,2.47288848942039,10,5.27245604981157,4,5,8.70804954685684,1,7.1593451797391,"N"
4,8.84632428858427,4.38240747932214,7,2,9,4,5.38120632118159,2,8,1,8,2.00841001383337,7,1.85755077325092,10.1585171033626,"A"
3.35102141086411,6.21815021607973,4,4.73241645047265,2.76627857483747,7.25447278171846,7,6,4.92999406404721,7.9326163856654,4.4592172930895,5,2.28893074665239,8,3.34784475453665,7.21309058860214,"D"
4,8,5,6,4,9.81053809777907,9,6,4,4.43603617782772,5,8,2.80485323234842,7.77883269165667,10,10.9857734296363,"Z"
3.80825196545222,5,4.82099767159912,3.40912853943318,2,5,9,5.0842502916194,4,7.54453445061644,9.13011069514316,7.90197992760456,5,8.77205394417014,0,7,"N"
4.1488015284423,6.77344691386504,4.3974704134753,4.85016795461576,2,7.38145715899022,7,5.64463068898976,4,7,5.69837461183406,8.31824928943463,3,7.81049752111064,4,8.78493928090957,"X"
4,9,6,6.85025029136399,7,8.57104275405764,7.77746938044027,3.25814365334039,3.88650857412136,10,5.95506793764025,7,6,7.74485124430664,4.6336939658979,7.29474182515577,"F"
6,9.90536898037636,7.2141273980698,6.41029752941085,3.98545913315979,6.87462022900874,4.94263716392171,4,4.5505130271857,8.6657827841716,4,10,5,6.91863728309479,2,8.44829721460587,"N"
2.69439400138337,6.14248904271062,4,4.71324337215039,1,6.48972292998386,7.68001430744915,6,6,9.3826263901934,5.92941027184791,6,0,8,0,8,"L"
4,6.09245460296562,5.06748330109844,4.08058849633498,3.98132478768734,7,7.97282071985457,3.29846178105845,3.56786142850435,10,6,6.44641351683295,5,9,1.93710021261549,7,"N"
1,3.82163614978411,3,3.55233790259539,2.70973518129757,7,7.30337961783358,3.5049374903107,9,7.28861293683504,6,8.71363316313935,1,7.59574938517264,5,7.83190824239088,"Z"
3.81329419260579,5.65564831973251,5.07618635649275,4,3.00045239788337,7,9.84675290395626,3.81010259828177,4.20902036889926,9.23593643592696,9,5,3.51313028333425,10,1.73268344388779,6.29213330103526,"Y"
0,1.55753010909379,0,1,0,6.34047223513891,7,4,3.98645120730069,8.40823502452416,5.48051701453425,8.05816017977876,0.546610473200604,8,2.09686633669452,8,"I"
8,10.3928309273209,9.61778466809236,7.8219898210287,9,4,10,2,3,9,11.3209591473039,7,9,13,3,5,"W"
2,1,4.20303564251116,1.93952746562844,1.37974026382013,5.45481193573372,9,5,6,7,9,9,2.53308222374992,9,1,7.59035532773641,"U"
6,10,4,5,2.30457579402913,8,7,6,2.89030548092355,9,4,6.01561842783802,5,8.50688886774179,5,8.35369001655418,"O"
2.82980022609193,4,4.15487251798001,3,1.5337057146751,5,12,3,6,10.2996656922964,9,4.78724856682883,1,11,1,6.57567920110626,"T"
4.11568165067164,5,6,4.38439277607025,4,7.02541242184054,6,4.30244270639356,5.45911949524687,7.04019552688337,6.38251246349215,8.10275777993252,4.1099368337863,8.00727456007889,3.34667624331469,6,"O"
4.8062733054366,7,4.71541370117843,5.50163932592178,4.77671538342025,7.24897071652981,9,4,0,8,7,6.01489941097836,4.79480286814486,11,5,7,"P"
3.12281505910241,3.96141179001192,4.05082358918473,2,1.18164033883394,6.39885509825889,8.61227880354508,2.2213416369809,6,12,9,10,1,9,2,7.93690317862531,"C"
3,5.31138339950468,3.84067463192167,4.77613267974113,2.81848192283526,6,6,6,6,10,7.21606593381477,10.103189489221,0.207151649536382,10,2.27760172552597,9,"G"
4,8,5.68778710333203,7.46651456455114,8,8,7,5,3,4.7607974121324,7,8.79163284557166,6,10,8,8.25759212630487,"B"
3,4,3.84494173580346,3.47695105216887,3,5,8.13294041867276,5.02073888453082,5.92776846260557,7,6.60182572124942,8.77323022075764,3,8,5,7.79811836504837,"K"
5.74553951695131,8.13479555355793,8,6,4.98186804100507,6.30002104466358,9.61823326561239,3,5.37275109756115,9.08559366144001,10,7.36911899855845,4.83192929449848,10,2.21802361510978,6,"W"
2,4.09291294090633,4,4,2,6.06959313611281,9.38825244117781,3,3.91234964839327,4,11,8,3.52878499520523,10.3861869524516,1,6.65325256389204,"V"
3.80746197672936,6,5.56433928328773,4,3.34445726487457,7,11,4.73611089707623,2,7,8,4.92760970048422,5.52972971665169,9.90511972597488,1,8,"W"
5,7.38703670449689,6.55268729871003,6.43246430544446,7,6,6,6.12433394814721,4.89892380467245,5.22200147177781,5,8,6,7.86325921207884,7,10,"H"
3.63598734052795,7.1053350928872,5.04203786323521,5.2164667645799,3.19495462122648,7,8,3,12,9.81453153654967,6.51271513012827,8.02287601675587,0,8.29633382030249,7,7,"Z"
1,4,2.53965410113125,2.82659474130388,1,9,6.55471708389665,2.30010865627471,5.28322921492769,12,4,6.96552531386776,-0.126194645382627,7,1,8.27766431675294,"J"
3.34464865389024,6.48757455062378,4,4.14315125878928,1.69873026715361,7.05916491936387,8.11950485453728,2.73983691399803,5.32824060842025,13,6.95724768813523,7.21507976529437,1.0062688223694,8.40810136163494,1,7.19063545468779,"F"
5.13457915352858,8.64052553457614,7,6.91850351952826,6,7,7.18606755033406,4.56459026807904,5,7.87862858754881,6,8.06022468203654,4.78219887455634,8,4.99237632319297,7.6487768210926,"D"
3.6433609371873,5,5,4,3.0560135521269,7.36884383113247,7.58026385555811,3,8,11,5,7,1.21850342514925,7.99382264980693,5,8,"S"
8,11.3996329896772,7,6.49172370593501,3,5.29208055081938,8.06379446442049,3.55469565456177,6.52066875610155,13,7.42160472123357,6.56481804302571,3.13260359030795,9,3.28043198420588,5,"T"
3.92956549100518,6.8253633168238,5.33172695755628,6.28636398336319,5,6.34257321009833,9,8,4,7.1605611110239,8.03089755829554,7,4,9.11615518708024,4,7.82054234807162,"O"
2,5.32575554999308,3.90637304054167,4.68508491981676,3.25095584823847,8,7.18421982490317,5,9,7.3707274543193,5.16456875487196,7,1,7.67164480385094,5.62682641119766,7.90577412036463,"Z"
3,9,2.49343303682663,7.32520372764982,3,8.64851615368949,7.40613152723101,10,6,7,5.16560498084387,9.05784503261541,0.259848428872049,6.97615917955491,9,10,"B"
3,2,4,3,1.78519464854622,5.54764769833928,10,5.39814505917699,4.51123155796826,8.27294099139516,8.86712546810818,7.5780264313675,2.77577084989762,9,3,7.54697105081143,"F"
6,9,10,7,11,9.99037058718699,6.02663076734951,2.4079799269454,3.74191962183629,9,4,7.84552456835764,11,6,6.48296178195299,7,"M"
2.52468075136845,4.58311629440554,4,4,1,5.20510534016399,9.83291899795917,5.12368450463588,5,6,11,8,0,10.5943511607411,1.36780766874328,7.2538512855661,"T"
5.80983463476663,11,5.7764205623026,6,3,6,7,3.98884238585014,4,7.81814242824859,4,6.23455933703007,5,8,1.77269916672757,7,"O"
2,3.77300835900551,3,3,2.43531990197302,5,8.27615363992716,4,6,6.84623105389714,5.99000727646969,9.45018512814791,3,8,4.20653497638552,10,"K"
1,3.29571357938809,3,3.09460661993065,1,7.79656283476103,7.92225119388861,2,9,7.74412329896589,6,8,-1.32244194208262,7.93041355467624,5,8.32433028544669,"Z"
3.06885889059387,4,3.91045369893108,2.89788535747865,1,5.36505407239741,13,2.76576418367871,5.07419414387306,10.1752132940972,9,4,1.04118779457176,11,1.87038201916563,7.0336835469799,"T"
4,8.86613110921172,5.26092475493703,8,3.63451155737494,5.91085419486294,10,5.16984615089142,3.57476032369015,7.85828074895247,10.6241913290443,7.26641641411733,2.75449576269404,11,1,7.16146091071056,"W"
3.55850086547657,6.87883611246775,5,5.08496199851116,3.31344172905982,6,6.39791334075668,2,5.03836466606745,5,6.2471872471991,8,3.67856082493183,8.66026590156084,3,6,"A"
1.39097993665385,2,2.91425938289695,3.40806196666623,2,8,8,6,1,5,6.29507383636941,6.69407601374273,2,9,2.93731240276139,8.65841382420678,"Q"
6.4421281972701,10,6.93462946747166,14,6,8,7.82101246576761,7.09634593001713,8.70711255907208,4.34313304513413,6,7.14803018992759,1.42050483502456,9,13,6,"Z"
3.98411291411436,5,5.2149191704429,4.65728157341535,5,5.98078870546762,10,3.36926068515385,6.85954061869891,8,7.65974188371942,6.65808951980293,3,9.41868537089869,8,6,"H"
5,9,8,6,8,6,6,3,16.2637386786177,7,5,10.2433855695408,7,10,7,7.87590042828927,"R"
1.27045505953493,7,0,4,-0.138399800228866,7,7,6.64365114945274,4.02461843061775,7,6,8,0.5214489900962,8.39476374707389,2.79259303467864,8.64283509585788,"I"
2,4,3.87883420469506,3.53938592478207,2.52272976546559,7.2884202080451,8,4.26270799418484,5.57783906952587,9,5,8,1.97392682841501,6,3.82907497741075,8.45183420899498,"R"
5.02686152229528,10,7,7,4.2190044314694,7,6.63512266232131,5.87012688521607,6,5,8,8.1562919844301,6,8.60509695895003,1,7,"U"
3.89368843299922,7,5.13909286393752,5.39473301667327,3,7,7.63952963684667,5.94115980585974,2.52512077094076,7.9260218363026,8.25872812430015,7.71112231353445,4.29162525818074,9,0,7.49382117800874,"U"
4.47629652792771,7.25029350263056,5,5,2,6,7.16669416181411,6,8,11,7.42204095840036,11,2,7.04383286510432,3.11070919944219,9,"C"
5,9.12135459970287,6,7,3.52277925930676,8,6.55766255493616,8,5,7.94158148795831,6.38227522830029,7.8028253752736,3,8.05421325557105,3,8.4479507089542,"O"
5.46055538901148,13,5.60655218148233,7,3,6,8,4.15713673578005,6.20713594956086,9.75064785077154,6,7.78471040131626,1.8032430859837,8,3.10007832444906,8,"E"
4.90021171761573,8.64507235123013,7,6.21826110735186,5,10,6,4.08128175345149,7,9.2559164179199,3,6,4,6,5.70074089133082,7.9844141087541,"D"
5,7.32969536890994,5.83943459221151,5,2.84460627803585,4,8.63991535793514,4.49291351104339,7,8.91613927651062,8.53871969640511,8.09431528726832,3,9,2,6.36424559780641,"U"
3,4.70635133989923,5,3,2.90097139481041,8.03808287239196,7,2.99541442625444,5,9.03857657048766,3,6.59320469266043,2.67031372805222,7.20645005331925,3,9,"R"
2,4,3,3.7785053062738,2,7,7,6.23031609116567,5.00837022690163,7.02945725014689,6,9,1.61512905925849,7.99627290611694,3.72111661620462,10,"E"
6,9.36475245115613,6,6.37048099278531,3.3540230052928,6.1413121326612,7,5.2897763062284,7,8.87221409756775,7.68814970565449,11,3.02659317468014,9,5.32583173451432,9,"G"
4.71448809552722,8.50752930489469,7,6,4.0762935909423,8.63615234811212,7.46680940862596,2,5.09510570178178,9.34997556499294,4.36845336199896,9.08322090889827,3.20286374983134,7.92372068726573,4,12,"B"
4,8.81915555684482,5.32294409583093,7,4.35690464964166,8,6.9599058225536,3,0,8.3759533564176,4.99617372177393,7.59265103552101,4.91612390177203,7,2,8.01891925298439,"A"
1,3.05639540543923,2.62849903290435,2.3563989954403,1,6,10,1,5.40735993985804,8.56901815218056,7.66449132713213,7.67977306895193,1,8.79490606586396,2,8,"Y"
2,4,3.74458411596337,4.4373575185893,4,5.80761776551174,11,3.50271776391187,3,8.11096834309119,8,9,2,11,4.28753618476372,9.50432167083512,"Y"
4.56493520061028,10,6,7.69507439765331,5,7.25350206084355,6,4.96080002602434,4,8.58341368648426,5,7.83010208483249,3,7.98739565502935,3,8,"O"
4.80517212525741,8.43786781579909,4.93180822181513,7,3.80865202174184,7,6,7,5.78903006565234,6.25651841236708,6,7.85246735235692,2,11,5,8.47058675284973,"G"
5,9.48603108417863,6.14569452142223,7.57062954982158,5,8,3,5.76539676020048,2,8.64733907510663,2,7,3,5,3.40134045516213,7,"A"
3,2.96744308086907,4,3,1,7.87475529128632,9.62829349969055,5,7,12,9,7.55978231982494,-0.203161591922799,10,3,8.35027486580354,"C"
4.87658831859921,8.06244210374823,6.34052979413054,6.37651123579067,6,7,8,3.37570325010012,5.21871659830037,8.26382853756455,6.3922767892072,6,4.25852813183521,10,5.263668086635,6.81188213273025,"H"
4,11,4.4288242802444,8,7.65062289675997,8.48986040045238,8.37194881083954,3,4,7,8.06375662074734,7.54267232120703,7,10,8,6,"R"
4.49937096710026,7,6,5,4,7.15661292207717,8.05224910946301,5,5,8,6.71309841477637,7,3.98457418126277,8.57903562407214,3.49216526749296,7.59943236844856,"J"
4.89836878651671,6.82640926988283,5.48815239568093,5.24917145859144,3,7.25190588336284,6.79061982777006,12,1.81247831560817,6,9,9.71285749763422,8,6,0.607817515287049,8.33649075564764,"M"
3,9,4.37857812959172,6.96443128893699,2.76698473375408,7,11,2,3,6,11,7.36558142495516,2,11.4429558796729,2.37780164369414,7.50654998559858,"V"
2.90614608605508,3.94362393869253,4.14188311495777,2,2,8,6.2321267248045,4.89501158892449,5,9,2.01053033055028,7,2,6,4.02396854416869,10,"R"
3.39323147929432,6.59322404607167,5,5.42300022074452,2.13877620499897,7,9.56571475125238,4.70153959824173,6,7,11,8,2,12,1,8,"T"
4.6416274214923,8,7.02325686927357,6.72109315433852,7,8,7.14712946986174,4,5,7,7,8,6.41421670351111,7,6.23312077545543,6.73173024382895,"J"
4.19499154663439,7.66818198537994,5,5.17903201429734,2,8,7.89344247689751,3.14184063807965,6.19300710004351,11,6.80960084361849,7.41443888485604,1,9,2.77686753243866,8,"S"
5.55084158605033,11,8,8.80967633454362,9,9,7,5,2,8.73766944116512,6,8.51936900744149,8.13498068420766,8,5,10,"G"
2,3,3,2,2.06527107630383,7.87437485035562,7.16980757750516,4,4.90699849276325,10,4,6,2,8,2.85582708427931,8.01651772494072,"D"
1.82341254233063,0,3.68739526297723,1.58063850707111,2.25768395288638,8,6.83536142495978,4.73435961541033,5.87430642502757,7.53388053378667,5.96809799603317,9,2,8,5,8.66814840321894,"G"
5,8,6.41320580114227,10,6.67191861505525,8.50862606027139,5,4,4,6.5074740480382,2.46169365344919,6,3.49640259831723,7.9355429756675,8,7.52450938570563,"Z"
5.29556384859084,11,6,8,3.40350340943107,5,6.57116575494229,10,10,6.78697716256801,6,8.23310114986677,1.11338426330866,8,4,8,"D"
1,3,3,2,0.871577371221214,7.03732413469093,5.43391904053662,2,4.43645973449384,5,3.73077228968871,8,2.76403706120282,6,1,7.41762079980343,"A"
-0.166138940524762,0,1,1.03865838613879,-0.0229950535163032,6.10876673495656,9.33289043075982,1,4,7,10,9.19497831269258,0,10.6079963615094,2.12089192936332,8,"T"
2.5567854404352,2.22782554602543,3.44081295708182,1,1.40434817548996,7.23006019749324,7,6,5.68705769092844,7.2034618474915,6.02218994996988,9,2,9,3.88079759177781,10,"G"
3.04823985227509,3.21914523513672,4.48709995220417,1,1.41785842444786,6,6.45591088445611,1,6.30822237946655,9.97082368004972,5.6659804245165,10,2.48569120529836,7,2,7.46983589820731,"L"
5.05936354434463,9,7.04488971566458,7,8,8,4,5.02513573853199,5.0308413027105,6.25205080560309,6,7,6.10829109885658,8.27791110244071,5.60629126238174,5.61904514607281,"W"
